pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_INTERFERON_ALPHA_RESPONSE	6.96545979299226e-05	0.00080102787619411	0.538434096309916	0.510819258490271	1.63706969294344	97	IFIT2;IFITM2;UBE2L6;PLSCR1;BST2;IFIT3;CSF1;IFI44L;SP110;IFITM3;ISG15;CD74;GBP2;C1S;PSME1;TMEM140;DHX58;RSAD2;IRF7;PARP9;LGALS3BP;MX1;SELL;PSMB9;CMPK2;IL4R;UBA7;IFI44;MVB12A;IL15;LAP3;CMTR1;IFI35;MOV10;IFIH1;RIPK2;TRIM21;CASP8;RTP4;IRF9;CNP;HERC6
HALLMARK_ANGIOGENESIS	0.00214955557145573	0.00898905057154215	0.431707695803346	0.561370372039312	1.60441023442923	35	SPP1;VTN;CXCL6;SERPINA5;NRP1;STC1;FGFR1;TIMP1;APOH;SLCO2A1;LRPAP1;S100A4;JAG2;PDGFA;ITGAV;CCND2
HALLMARK_COAGULATION	3.62739039347492e-05	0.000556199860332821	0.557332238758646	0.486184617307121	1.57889795486244	129	SERPINA1;HPN;C3;FGA;CFB;CPB2;FGG;CLU;SERPING1;TMPRSS6;C8G;F10;C1R;CFI;THBS1;TFPI2;CTSH;KLKB1;FURIN;PROS1;S100A1;C1S;CRIP2;CFH;SERPINE1;MMP11;CTSO;PROC;ANG;USP11;HTRA1;C1QA;CPQ;MMP7;TIMP1;F11;LAMP2;RGN
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.90890010090699e-06	8.78094046417214e-05	0.627256739718528	0.466342243983303	1.54238963946009	199	CFB;IFIT2;SERPING1;IFITM2;METTL7B;VCAM1;UBE2L6;IL15RA;PLSCR1;BST2;ST3GAL5;C1R;IFIT3;ICAM1;TNFSF10;IFI44L;SP110;CDKN1A;IFITM3;RBCK1;TNFAIP6;IRF5;ISG15;CD74;FAS;C1S;PSME1;CFH;VAMP5;DHX58;RSAD2;NFKBIA;HLA-DMA;PTPN2;IRF7;STAT1;HIF1A;LGALS3BP;MX2;CASP4;MX1;IFIT1;STAT4;PSMB9;CMPK2;LYSMD2;IL4R;IFI44;HLA-A;SOD2;BTG1;CCL2;IFNAR2;TNFAIP2;BPGM;IL15;CCL5;LCP2;LAP3;CIITA;CMTR1;IFI35;PTPN6;IFIH1;PSMB10;RIPK2;TRIM21;SECTM1;DDX58;CASP8;RTP4;IRF9
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.59705188978985e-06	0.000105732193465167	0.610526878385931	0.460499496389256	1.5230652195275	199	SPP1;CXCL6;ANPEP;CDH6;CXCL1;CDH2;TNC;CADM1;VCAM1;CXCL8;VIM;TNFRSF12A;ID2;RGS4;THBS1;TFPI2;PTHLH;TGM2;APLP1;CXCL12;LGALS1;SNAI2;GADD45B;GPX7;CCN1;NNMT;ABI3BP;FAS;TGFBI;ITGA5;IL32;SERPINE1;HTRA1;NOTCH2;TIMP1;SERPINE2;PLOD2;SPOCK1;LOXL1;ITGB5;SNTB1;TNFRSF11B;ELN;DAB2;SLIT2;MYLK;OXTR;GADD45A;COL16A1;PCOLCE;COL6A2;AREG;FZD8;IL15;SLC6A8;BMP1;FSTL3;FMOD;DST;ACTA2;TPM2;MGP;MYL9;TGFB1;PPIB;IGFBP2;RHOB
HALLMARK_BILE_ACID_METABOLISM	0.00119209606831524	0.00685455239281265	0.45505986738723	0.466123534029689	1.49790943675996	106	SERPINA6;NR1H4;GC;SLC23A1;NR0B2;ABCA3;CYP7B1;BBOX1;HSD17B11;SLC22A18;SLC35B2;HSD3B7;RBP1;PRDX5;SLC29A1;FADS1;IDH2;TTR;HSD17B4;ABCD1;ALDH8A1;BMP6;PEX6;PAOX;PECR;PIPOX;FDXR;NUDT12;DHCR24;ABCA2;PEX11G;BCAR3;PEX12;FADS2;SLC23A2;SLC27A5;OPTN;NR3C2;GCLM;ABCA1;CYP27A1;GSTK1;NEDD4;AMACR;GNPAT;PEX11A;PEX16;PEX19;PXMP2;RETSAT
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000159842790839238	0.00147055367572099	0.518848077743792	0.436388711219881	1.4434461390371	198	CXCL2;CXCL6;CXCL1;IFIT2;TNC;IL15RA;ID2;DUSP1;CEBPD;PFKFB3;CSF1;KYNU;PER1;ICAM1;IL6ST;SPHK1;FJX1;CDKN1A;GADD45B;CCN1;TNFAIP6;SPSB1;LITAF;SERPINE1;ZFP36;IRS2;NFKBIA;EGR1;CCL20;TRAF1;PLPP3;DUSP5;SOD2;TNIP1;DENND5A;GADD45A;BTG1;PLK2;CCL2;TNFAIP2;KLF10;AREG;DNAJB4;G0S2;CCL5;SNN;MAFF;NFKBIE;STAT5A;IFIH1;NFIL3;RIPK2;TLR2;IL18;ZC3H12A;TNFAIP8;SLC2A6;DDX58;ZBTB10;TIPARP;RHOB;CLCF1;NINJ1;IFNGR2;MAP2K3;ABCA1;KDM6B;IER3;SERPINB8;TUBB2A;NFKB2;BMP2;DRAM1;SQSTM1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.000330708340570475	0.00253543061104031	0.49849310876659	0.43260123457201	1.43086757738087	200	LDHB;MAOB;CYB5A;NDUFB7;NDUFA2;UQCRQ;ACAA2;ATP5ME;ECI1;NDUFA1;ACADVL;OXA1L;IDH2;NDUFS7;CYC1;UQCR11;NDUFB8;ATP6V1F;NNT;NDUFA3;ATP6V0C;GPX4;ATP5MC2;SLC25A11;NDUFS4;SLC25A6;COX8A;COX17;SDHC;ACADM;ATP1B1;TIMM13;NDUFS8;ATP5F1D;PDHA1;COX7A2L;BAX;ETFB;COX5B;COX7C;IDH3G;NDUFV2;TIMM10;COX7B;HADHB;ISCU;FH;CYB5R3;HTRA2;AFG3L2;PHB2;NDUFS6;COX6C;UQCRB;ATP6V1C1;SUCLG1;IDH3B;MRPS11;ETFDH;DECR1;NDUFA8;COX6B1;NDUFC2;NDUFC1;NDUFA7;HSD17B10;ATP5PD;NDUFS2;OGDH;NDUFB4;ATP6V1D;NDUFAB1;NDUFB5;SURF1;ATP5MF;ATP6V0E1;BCKDHA;TCIRG1;COX10;NDUFB2;MTX2;PDP1;COX4I1;UQCRC1;RETSAT;TIMM9;POLR2F;MRPS12;ACAT1;AIFM1;PHYH;BDH2;ATP5PF;ATP5PO;NDUFV1;ALDH6A1;ACADSB;ATP6V1G1;TOMM22;NDUFB1;SLC25A4;ATP5F1C;TIMM17A
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0293501048218029	0.0794179306942903	0.271288554688953	0.472373695009041	1.41250528994986	48	PRNP;HHEX;MSRA;LSP1;GPX4;SOD2;PDLIM1;STK25;GSR;PRDX6;PRDX4;G6PD;MGST1;LAMTOR5;GLRX;SBNO2;GCLM;TXNRD2;NDUFS2;NDUFB4;FES;HMOX2;CAT
HALLMARK_ADIPOGENESIS	0.000618843407337494	0.00406668524821782	0.477270815362862	0.423671464461357	1.40035565870876	195	ITIH5;C3;REEP6;ANGPTL4;RAB34;PFKFB3;SQOR;SORBS1;MTARC2;HSPB8;SULT1A1;SLC27A1;ORM1;SNCG;ITGA7;NDUFB7;UQCRQ;ESYT1;FAH;ACAA2;DHRS7;MCCC1;SCARB1;TST;CYC1;ARAF;STOM;UQCR11;VEGFB;PGM1;LTC4S;SLC19A1;GPX4;ACADS;COX8A;DHRS7B;APOE;SDHC;MYLK;ACADM;GADD45A;SLC25A10;ETFB;PHLDB1;PEMT;CAVIN1;IDH3G;QDPR;COX7B;CAVIN2;CRAT;PPM1B;STAT5A;SLC66A3;REEP5;PDCD4;CDKN2C;ENPP2;MAP4K3;SUCLG1;BAZ2A;DECR1;ABCA1;SSPN
