pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_MEDICUS_REFERENCE_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION	2.70678170081057e-05	0.00252197441092631	0.575610261071129	0.892513248410199	1.87673385307568	8	C4A;C4B;C1R;C1QB;C1S;C1QC;C1QA
KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN	9.1463460343047e-05	0.00629065355026068	0.538434096309916	0.873157424257259	1.83603335870576	8	FGA;FGB;FGG;COLEC11;MASP1
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	1.04597543949234e-05	0.00161640978616415	0.593325476396405	0.617881663072908	1.82269261784934	45	NDUFB7;NDUFA2;MT-ND1;NDUFA13;NDUFA1;NDUFB10;MT-ND6;NDUFS7;NDUFB8;NDUFS5;NDUFA3;NDUFS4;NDUFB11;NDUFS8;NDUFB9;NDUFA11;NDUFV2;NDUFS6;NDUFA8;NDUFC2;NDUFC1;NDUFA7;NDUFS2;NDUFB4;NDUFA12;NDUFAB1;NDUFB5
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	1.06040245977293e-05	0.00161640978616415	0.593325476396405	0.617748915091071	1.82230102382578	45	NDUFB7;NDUFA2;MT-ND1;NDUFA13;NDUFA1;NDUFB10;MT-ND6;NDUFS7;NDUFB8;NDUFS5;NDUFA3;NDUFS4;NDUFB11;NDUFS8;NDUFB9;NDUFA11;NDUFV2;NDUFS6;NDUFA8;NDUFC2;NDUFC1;NDUFA7;NDUFS2;NDUFB4;NDUFA12;NDUFAB1;NDUFB5
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	1.30566218591612e-05	0.00161640978616415	0.593325476396405	0.619613189026786	1.81952952411396	44	NDUFB7;NDUFA2;MT-ND1;NDUFA13;NDUFA1;NDUFB10;MT-ND6;NDUFS7;NDUFB8;NDUFS5;NDUFA3;NDUFS4;NDUFB11;NDUFS8;NDUFB9;NDUFA11;NDUFV2;NDUFS6;NDUFA8;NDUFC2;NDUFC1;NDUFA7;NDUFS2;NDUFB4;NDUFA12;NDUFAB1;NDUFB5
KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_C1INH	2.85199044854348e-05	0.00252197441092631	0.575610261071129	0.931808179737173	1.81632611527899	6	SERPING1;C1R;MASP1;C1S
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	1.30566218591612e-05	0.00161640978616415	0.593325476396405	0.614861685956363	1.81378397024678	45	NDUFB7;NDUFA2;MT-ND1;NDUFA13;NDUFA1;NDUFB10;MT-ND6;NDUFS7;NDUFB8;NDUFS5;NDUFA3;NDUFS4;NDUFB11;NDUFS8;NDUFB9;NDUFA11;NDUFV2;NDUFS6;NDUFA8;NDUFC2;NDUFC1;NDUFA7;NDUFS2;NDUFB4;NDUFA12;NDUFAB1;NDUFB5
KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION	0.000852967999509587	0.0406143993612642	0.477270815362862	0.810490144656461	1.76568264133193	9	C4A;C4B;COLEC11;MASP1
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE	0.000156985111545663	0.00971737840467652	0.518848077743792	0.938219186511599	1.74111186656482	5	C1R;C1QB;C1S;C1QC;C1QA
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	6.21525407457841e-05	0.00480905284020505	0.538434096309916	0.571089571507423	1.7119130110058	51	NDUFB7;NDUFA2;MT-ND1;NDUFA13;NDUFA1;NDUFB10;MT-ND6;NDUFS7;NDUFB8;NDUFS5;NDUFA3;NDUFS4;NDUFB11;NDUFS8;NDUFB9;NDUFA11;CAPN1;NDUFV2;NDUFS6;NDUFA8;NDUFC2;NDUFC1;NDUFA7;MAPT;NDUFS2;NDUFB4;NDUFA12;NDUFAB1;NDUFB5
KEGG_MEDICUS_REFERENCE_BMP_HAMP_SIGNALING_PATHWAY_AUXILIARY_FACTOR	0.00222974932181668	0.0985867735860375	0.431707695803346	0.82254357074676	1.68004191835812	7	ACVR1;HFE;TFR2
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	0.000239713048281135	0.0123651980738352	0.518848077743792	0.544671600233944	1.6635688653949	61	NDUFB7;NDUFA2;UQCRQ;NDUFAF8;NDUFA13;MT-ATP6;NDUFA1;NDUFB10;NDUFS7;CYC1;NDUFB8;NDUFS4;NDUFB11;COX14;COX8A;SDHC;NDUFAF1;NDUFS8;ATP5F1D;NDUFB9;NDUFA11;NDUFV2;NDUFS6;COA3;NDUFAF6;UQCRB;NDUFA8;COX6B1;NDUFC2;NDUFS2;NDUFA12;NDUFAF3;COX10;COX4I1;COX16;ATP5PO;COA5;NDUFV1
KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_MAC_INHIBITION	0.00451267931766819	0.174584281102288	0.407017918923954	0.759040664474655	1.65359805318302	9	VTN;CLU;C8G;C6
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	0.0067706961458273	0.209553045713355	0.407017918923954	0.638660049397464	1.62200182701105	18	GSTO1;COX8A;COX7A2L;COX5B;COX7C;AS3MT;COX7B;COX7A1;COX6C;COX6B1;COX4I1
KEGG_MEDICUS_REFERENCE_TESTOSTERONE_BIOSYNTHESIS	0.0055759355270828	0.203029652427309	0.407017918923954	0.75991830517032	1.59791959550787	8	HSD17B2;AKR1C3;HSD17B8
KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION	0.0167524191796755	0.370348124007825	0.352487857583619	0.697525544749477	1.55034237059409	10	TP53;CDKN1A;GADD45B;DDB2;MDM2;GADD45A;BAX;BAK1;GADD45G;POLK
KEGG_MEDICUS_REFERENCE_RENIN_ANGIOTENSIN_SIGNALING_PATHWAY	0.00351835269073379	0.145190687704281	0.431707695803346	0.947231580725562	1.54702338521249	3	AGT;AGTR1
KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION	0.0181035612966656	0.373536814754533	0.352487857583619	0.746646491220966	1.52502244021846	7	C5;C8G;C6;C8B
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_TP53_TO_TRANSCRIPTION	0.024004926871396	0.468783801771408	0.352487857583619	0.697482612174555	1.51949156824044	9	TP53;CDKN1A;GADD45B;DDB2;GADD45A;BAX;BAK1;GADD45G;POLK
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	0.0161989586447749	0.370348124007825	0.352487857583619	0.610842204430211	1.51171666716457	16	COX8A;COX7A2L;COX5B;COX7C;COX7B;COX7A1;COX6C;COX6B1;COX4I1
KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION	0.0311377245508982	0.520925716135297	0.282013350011725	0.677885406228167	1.50668957659519	10	TP53;CDKN1A;GADD45B;DDB2;GADD45A;BAX;BAK1;GADD45G;POLK
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	0.0104286403074695	0.293424015923802	0.380730400722792	0.524584575644094	1.50065622166006	37	EPOR;IL15RA;IL6R;IL6ST;STAT1;STAT4;IL4R;STAT5B;IFNAR2;IL15;JAK1;STAT5A
KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY	0.0324129651860744	0.523024926066751	0.276500599254472	0.68172976107071	1.4851734017224	9	IRF7;STAT1;IFNAR2;JAK1;TYK2;IRF9
KEGG_MEDICUS_REFERENCE_REGULATION_OF_TNF_NFKB_SIGNALING_PATHWAY_LUBAC_MEDIATED_LINEAR_UBIQUITINATION	0.0329531051964512	0.523024926066751	0.282013350011725	0.757300554429353	1.47616731000716	6	SHARPIN;RBCK1;IKBKG
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	0.0374149659863946	0.566438421002808	0.248911114434702	0.595964746151791	1.47489782674814	16	RAC2;CAV1;PRNP;NCF2;CYBA
KEGG_MEDICUS_REFERENCE_SEROTONIN_METABOLISM	0.039348710990502	0.566438421002808	0.266350657088526	0.830794424807642	1.46231837783692	4	MAOB;MAOA
KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	0.0272536687631027	0.496177087187076	0.282013350011725	0.523320546138733	1.45519721419219	29	CREB5;RAC2;CAV1;PRNP;NCF2;EGR1;CYBA
