"pathway","pval","padj","overlap","size","overlapGenes","Pathway_Set","Significance"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",9.51679934214608e-05,0.0164640628619127,9,66,"C4A, C4B, C5, CFB, CPB2, F10, KLKB1, SERPINA1, SERPINA5","KEGG_LEGACY","Significant"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.000793058622664464,0.0685995708604761,15,206,"CCL24, CX3CL1, CXCL1, CXCL2, CXCL6, EDA, EPOR, GHR, IFNE, IL15RA, IL6R, PDGFC, PDGFRA, TNFRSF10C, TNFSF12","KEGG_LEGACY","Not Significant"
"KEGG_GAP_JUNCTION",0.00797663067179432,0.459985702073472,7,81,"ADCY5, ADCY9, GUCY1B1, PDGFC, PDGFD, PDGFRA, TUBB6","KEGG_LEGACY","Not Significant"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.0132687577668337,0.573873773415557,6,69,"ANPEP, CD37, EPOR, GP1BA, IL6R, ITGA6","KEGG_LEGACY","Not Significant"
"KEGG_MELANOGENESIS",0.0462619964432816,1,6,92,"ADCY5, ADCY9, FZD1, MITF, WNT3, WNT9A","KEGG_LEGACY","Not Significant"
"KEGG_FOCAL_ADHESION",0.0468253549638231,1,10,192,"FLNB, ITGA6, ITGA7, MYL5, PDGFC, PDGFD, PDGFRA, SHC2, SPP1, THBS3","KEGG_LEGACY","Not Significant"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.0658016748802489,1,2,15,"ENPP1, VNN2","KEGG_LEGACY","Not Significant"
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.0658016748802489,1,2,15,"BAAT, CYP7B1","KEGG_LEGACY","Not Significant"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.0742902364591251,1,9,182,"ADRA2C, CHRNB1, GABBR1, GHR, GRID1, NPBWR1, PTGFR, SCTR, TSHR","KEGG_LEGACY","Not Significant"
"KEGG_TRYPTOPHAN_METABOLISM",0.0756733490641892,1,3,35,"ACMSD, AOC1, HAAO","KEGG_LEGACY","Not Significant"
"KEGG_ECM_RECEPTOR_INTERACTION",0.0762393967624396,1,5,80,"GP1BA, ITGA6, ITGA7, SPP1, THBS3","KEGG_LEGACY","Not Significant"
"KEGG_PPAR_SIGNALING_PATHWAY",0.0896882106918899,1,4,60,"ANGPTL4, AQP7, CPT1B, SLC27A1","KEGG_LEGACY","Not Significant"
