"pathway","pval","padj","overlap","size","overlapGenes","Pathway_Set","Significance"
"KEGG_MEDICUS_REFERENCE_TSH_TG_SIGNALING_PATHWAY",0.00577236472733907,0.491035348514615,4,26,"ADCY5, ADCY9, CREB5, TSHR","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY",0.00794839333247479,0.491035348514615,3,15,"ADCY5, ADCY9, CX3CL1","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAS_AC_PKA_SIGNALING_PATHWAY",0.0204997815363824,0.491035348514615,3,21,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.0204997815363824,0.491035348514615,3,21,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.0232490697953954,0.491035348514615,3,22,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.0232490697953954,0.491035348514615,3,22,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_GHRHR_PKA_GH_SIGNALING_PATHWAY",0.0261881527662402,0.491035348514615,3,23,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR",0.0261881527662402,0.491035348514615,3,23,"TRABD2B, WNT3, WNT9A","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY",0.0261881527662402,0.491035348514615,3,23,"CACNA1H, CAMK1D, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.0293165255336631,0.491035348514615,3,24,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY",0.0293165255336631,0.491035348514615,3,24,"CACNA1H, CAMK1D, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY",0.0293165255336631,0.491035348514615,3,24,"CACNA1H, CAMK1D, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_RASD1_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.0293165255336631,0.491035348514615,3,24,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_CYP11B1_CYP11B2_FUSION_TO_ACTH_CORTISOL_SIGNALING_PATHWAY",0.0326332117924177,0.491035348514615,3,25,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_ACTH_CORTISOL_SIGNALING_PATHWAY",0.0326332117924177,0.491035348514615,3,25,"ADCY5, ADCY9, CREB5","KEGG_MEDICUS","Not Significant"
"KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY",0.0352665694357964,0.491035348514615,4,44,"FGFR3, PDGFC, PDGFD, PDGFRA","KEGG_MEDICUS","Not Significant"
